place,track_id,time,time_fmt,confidence,frame,cam
1,1,0.0,00:00.000,0.77,55,A
2,5,12.704126358032227,00:12.704,0.50,132,A
3,13,20.94424295425415,00:20.944,0.90,167,A
4,23,36.668022871017456,00:36.668,0.81,228,A
