place,track_id,time,time_fmt,confidence,frame,cam
1,1,0.0,00:00.000,0.86,91,A
2,18,10.886880159378052,00:10.887,0.95,278,A
3,20,21.136253118515015,00:21.136,0.95,354,A
4,21,28.374403953552246,00:28.374,0.90,409,A
5,23,34.63233137130737,00:34.632,0.92,454,A
6,26,47.733834981918335,00:47.734,0.94,555,A
7,33,56.339524030685425,00:56.340,0.95,619,A
8,34,59.78217673301697,00:59.782,0.95,644,A
