cam,elapsed,frame,hip_height,hip_tilt,max_knee_lift,shoulder_tilt,stride_width,track_id,trunk_angle
A,10.999156475067139,125,442.4,15.0,67.5,23.4,45.2,5,13.8
A,10.999611377716064,125,387.3,4.6,17.3,5.4,2.4,7,14.6
A,11.258223295211792,126,441.4,14.3,65.5,20.7,46.4,5,14.1
A,11.48955774307251,127,441.1,14.5,67.0,21.5,46.9,5,13.8
A,11.72090196609497,128,442.4,12.5,67.6,19.3,62.6,5,12.1
A,11.721269130706787,128,395.3,6.6,-2.8,3.4,,7,42.7
A,11.96249270439148,129,443.8,14.1,76.2,21.8,56.2,5,13.9
A,12.223096132278442,130,445.7,14.3,75.2,23.3,48.4,5,12.5
A,12.452663898468018,131,443.7,12.4,69.5,18.0,60.4,5,11.8
A,12.704118728637695,132,453.1,6.9,,6.3,,5,3.9
A,12.946994304656982,133,456.5,4.4,,8.0,,5,4.3
A,12.947270393371582,133,451.6,5.1,,15.5,,10,2.5
A,12.947498083114624,133,398.6,7.5,-1.8,6.1,,7,45.5
A,13.220181703567505,134,395.5,8.9,0.5,7.3,,7,42.8
A,13.425120115280151,135,438.0,11.9,80.8,18.1,58.7,5,20.4
A,13.638418436050415,136,444.1,13.1,69.8,18.8,59.4,5,14.9
A,13.638771295547485,136,398.1,7.4,-1.5,5.0,,7,44.2
A,13.87789273262024,137,442.0,14.3,70.3,21.3,39.5,5,12.4
A,14.146023035049438,138,440.7,14.6,73.7,20.6,37.2,5,14.4
A,14.360926151275635,139,443.4,13.9,72.6,21.0,46.1,5,12.1
A,14.598448753356934,140,444.7,12.6,73.8,18.8,76.0,5,11.6
A,14.598803520202637,140,400.6,8.5,1.1,6.5,,7,38.8
A,14.83787202835083,141,443.5,15.1,76.4,21.1,32.2,5,15.9
A,15.050512313842773,142,441.6,15.1,63.4,22.4,52.2,5,12.3
A,15.297443866729736,143,440.7,15.8,66.1,23.2,43.3,5,13.0
A,15.521499872207642,144,441.1,14.9,67.7,22.3,52.4,5,12.8
A,15.73528528213501,145,426.0,12.4,64.7,18.6,65.8,5,20.0
A,15.97493577003479,146,440.8,15.8,78.9,25.0,43.6,5,15.7
A,15.975303411483765,146,389.9,4.9,18.5,6.3,2.5,7,13.5
A,16.249720096588135,147,428.9,10.6,60.4,14.1,97.2,5,16.8
A,16.442314863204956,148,429.1,11.2,46.4,15.9,63.3,5,12.4
A,16.67581868171692,149,427.9,11.9,45.6,13.8,46.8,5,14.6
A,16.676192045211792,149,398.4,7.9,2.7,5.8,0.0,7,35.4
A,16.899961709976196,150,431.4,10.6,46.0,11.8,41.7,5,13.3
A,17.114702224731445,151,432.6,11.8,55.7,15.3,46.5,5,13.7
A,17.115061044692993,151,399.8,7.0,-0.6,4.0,,7,43.7
A,17.35273766517639,152,435.2,10.9,54.8,15.1,76.4,5,11.4
A,17.569688320159912,153,431.5,10.9,51.0,14.7,76.9,5,12.0
A,17.804518938064575,154,428.4,11.5,43.2,14.7,63.4,5,16.1
A,18.03589630126953,155,432.1,12.4,48.4,17.0,42.1,5,13.4
A,18.0363507270813,155,399.3,7.7,-2.4,5.5,,7,38.5
A,18.28863787651062,156,428.9,12.4,42.3,17.9,61.0,5,13.8
A,18.28899836540222,156,405.5,9.5,3.8,7.6,,7,30.9
A,18.539958477020264,157,429.8,11.3,44.8,15.1,67.1,5,13.7
