cam,elapsed,frame,hip_height,hip_tilt,shoulder_tilt,track_id,trunk_angle
A,0.0,1210,476.5,7.0,41.5,5,7.9
A,6.761951923370361,1271,466.3,2.8,27.0,6,-2.3
A,6.890358924865723,1272,467.6,0.7,19.2,6,-3.0
A,7.025383949279785,1273,462.0,6.9,14.5,6,-1.5
A,16.253745794296265,1346,464.2,0.2,23.6,8,-1.2
A,16.39158034324646,1347,468.5,0.5,27.1,8,-0.8
A,35.86798429489136,1497,448.5,7.2,6.1,19,-0.8
A,36.00964570045471,1498,447.5,6.6,5.4,19,0.3
A,36.157984495162964,1499,457.1,11.1,2.1,19,1.6
A,36.363181829452515,1500,452.2,8.2,0.9,19,0.9
A,36.56848430633545,1501,448.7,14.3,8.5,19,3.9
A,36.72960090637207,1502,442.8,12.5,3.2,19,5.5
A,36.882709980010986,1503,451.7,11.4,14.7,19,4.4
A,37.51635432243347,1507,420.8,0.3,2.8,19,0.9
A,40.16943955421448,1527,445.0,1.1,14.5,23,-1.1
A,40.30837440490723,1528,453.8,2.7,6.7,23,-0.6
A,40.445077657699585,1529,443.3,5.7,3.4,23,-1.6
A,40.58410596847534,1530,441.2,6.3,0.3,23,-2.4
A,40.72881007194519,1531,440.3,0.4,11.1,23,-0.7
A,40.87553024291992,1532,438.7,2.3,5.3,23,-1.7
A,41.02352023124695,1533,436.9,0.8,7.7,23,-2.3
A,41.17548370361328,1534,438.7,2.9,2.8,23,-1.9
A,41.31204533576965,1535,436.7,2.3,5.3,23,-2.2
A,41.45336651802063,1536,441.9,3.5,6.5,23,-1.5
A,41.61189603805542,1537,459.0,3.0,6.3,23,-1.1
A,41.74046587944031,1538,451.9,2.5,6.3,23,-2.4
A,41.87808108329773,1539,444.4,5.2,1.1,23,-2.9
A,42.025925159454346,1540,458.6,2.5,7.3,23,-3.1
A,42.16515111923218,1541,455.3,5.2,1.2,23,-4.1
